General,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Part Number,trunk_assembly,
,Part Name,trunk_assembly v4,
,Description,,
,Material Name,(Various),
,,,
Manage,,,
,Item Number,,
,Lifecycle,,
,Revision,,
,State,,
,Change Order,,
,,,
Physical,,,
,Mass,13252.419 g,
,Volume,5.261E+06 mm^3,
,Density,0.003 g / mm^3,
,Area,1.552E+06 mm^2,
,"World X,Y,Z","0.00 mm, 0.00 mm, 0.00 mm",
,Center of Mass,"180.036 mm, -0.024 mm, -7.962 mm",
,Bounding Box,,
,,Length,482.00 mm
,,Width,347.147 mm
,,Height,150.00 mm
,Moment of Inertia at Center of Mass   (g mm^2),,
,,Ixx,116100000
,,Ixy,-66885.768
,,Ixz,-49034.713
,,Iyx,-66885.768
,,Iyy,263200000
,,Iyz,18859.554
,,Izx,-49034.713
,,Izy,18859.554
,,Izz,337100000
,Moment of Inertia at Origin   (g mm^2),,
,,Ixx,116900000
,,Ixy,-8861.788
,,Ixz,18950000
,,Iyx,-8861.788
,,Iyy,693600000
,,Iyz,16293.323
,,Izx,18950000
,,Izy,16293.323
,,Izz,766600000
