General,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Part Number,X8_X8_coupler_90deg v5(Mirror),
,Part Name,X8_X8_coupler_90deg v5(Mirror),
,Description,,
,Material Name,(Various),
,,,
Manage,,,
,Item Number,,
,Lifecycle,,
,Revision,,
,State,,
,Change Order,,
,,,
Physical,,,
,Mass,1008.392 g,
,Volume,1.814E+05 mm^3,
,Density,0.006 g / mm^3,
,Area,1.309E+05 mm^2,
,"World X,Y,Z","482.737 mm, -12.986 mm, -34.062 mm",
,Center of Mass,"475.564 mm, 97.738 mm, 0.003 mm",
,Bounding Box,,
,,Length,117.40 mm
,,Width,54.261 mm
,,Height,114.02 mm
,Moment of Inertia at Center of Mass   (g mm^2),,
,,Ixx,1239000
,,Ixy,18744.751
,,Ixz,-23.968
,,Iyx,18744.751
,,Iyy,2038000
,,Iyz,51.66
,,Izx,-23.968
,,Izy,51.66
,,Izz,1473000
,Moment of Inertia at Origin   (g mm^2),,
,,Ixx,10870000
,,Ixy,-46850000
,,Ixz,-1690.927
,,Iyx,-46850000
,,Iyy,230100000
,,Iyz,-290.934
,,Izx,-1690.927
,,Izy,-290.934
,,Izz,239200000
