General,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Part Number,thigh_link_R1 v20(Mirror),
,Part Name,thigh_link_R1 v20(Mirror),
,Description,,
,Material Name,(Various),
,,,
Manage,,,
,Item Number,,
,Lifecycle,,
,Revision,,
,State,,
,Change Order,,
,,,
Physical,,,
,Mass,2226.976 g,
,Volume,4.015E+05 mm^3,
,Density,0.006 g / mm^3,
,Area,3.032E+05 mm^2,
,"World X,Y,Z","-188.341 mm, 197.609 mm, -92.376 mm",
,Center of Mass,"-79.153 mm, 173.501 mm, -8.577 mm",
,Bounding Box,,
,,Length,390.198 mm
,,Width,91.40 mm
,,Height,157.575 mm
,Moment of Inertia at Center of Mass   (g mm^2),,
,,Ixx,4289000
,,Ixy,-2424000
,,Ixz,3817000
,,Iyx,-2424000
,,Iyy,22800000
,,Iyz,508900
,,Izx,3817000
,,Izy,508900
,,Izz,21210000
,Moment of Inertia at Origin   (g mm^2),,
,,Ixx,71490000
,,Ixy,28160000
,,Ixz,2305000
,,Iyx,28160000
,,Iyy,36910000
,,Iyz,3823000
,,Izx,2305000
,,Izy,3823000
,,Izz,102200000
